ticker,company,exchange,sector
AAPL,Apple,NASDAQ,Technology
MSFT,Microsoft,NASDAQ,Technology
NVDA,NVIDIA,NASDAQ,Technology
GOOGL,Alphabet,NASDAQ,Technology
META,Meta Platforms,NASDAQ,Technology
AMD,Advanced Micro Devices,NASDAQ,Technology
ASML,ASML Holding,NASDAQ,Technology
MU,Micron Technology,NASDAQ,Technology
SNOW,Snowflake,NYSE,Technology
U,Unity Software,NYSE,Technology
TSM,Taiwan Semiconductor,NYSE,Technology
SHOP.TO,Shopify,TSX,Technology
AMZN,Amazon,NASDAQ,Consumer Discretionary
TSLA,Tesla,NASDAQ,Consumer Discretionary
BRK-B,Berkshire Hathaway,NYSE,Financials
ICE,Intercontinental Exchange,NYSE,Financials
SLF.TO,Sun Life Financial,TSX,Financials
